Crop,ID,Unique_ID,State,Treatment,Stem_Length_cm,Leaf_Vein_mm,Leaf_Count,Leaf_Width_mm,Root_Length_mm,Node_Count,Fresh_Mass_g,Fruited,Flowered,Root.Nodules.Present,Stem_Diameter_mm,Root_count,Dry_Mass_g,Dry_Root_Mass_g,Notes
Bean,49,Bean 49,Dead,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bean,50,Bean 50,Dead,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Banana,1,Banana 1,Harvested,Dilution,58,135.67,8,43.33,154.4,NA,38,NA,NA,NA,11,11,NA,NA,
Banana,2,Banana 2,Harvested,Dilution,78,136,7,49,155.6,NA,21,NA,NA,NA,11,9,NA,NA,3 hojas secas
Banana,3,Banana 3,Harvested,Dilution,53,136.33,9,48,144.6,NA,32.6,NA,NA,NA,13,13,NA,NA,
Banana,4,Banana 4,Harvested,Dilution,139.24,137.51,4,47.12,163,NA,25.7,NA,NA,NA,10.38,14,NA,NA,
Banana,5,Banana 5,Harvested,Dilution,132.55,148.67,3,48.97,149,NA,24.6,NA,NA,NA,11.28,14,NA,NA,Clorosis
Banana,6,Banana 6,Harvested,Water,96.8,135.97,8,43.33,118.68,NA,28.9,NA,NA,NA,10.4,14,NA,NA,3 hojas secas (incluídas en el total)
Banana,7,Banana 7,Harvested,Water,104.1,134.33,12,42.7,131,NA,27,NA,NA,NA,9.3,16,NA,NA,"5 hojas del hijo, 3 secas. Un hijo "
Banana,8,Banana 8,Harvested,Water,103.1,144.97,7,61.43,141.2,NA,25.2,NA,NA,NA,10.4,12,NA,NA,2 hojas secas
Banana,9,Banana 9,Harvested,Water,111.4,140.8,9,43.7,97.8,NA,24.8,NA,NA,NA,11.4,13,NA,NA,3 hojas secas
Banana,10,Banana 10,Harvested,Water,118.6,148.9,7,48.63,157,NA,28,NA,NA,NA,9.4,14,NA,NA,3 hojas secas
Banana,11,Banana 11,Harvested,Extract,117.42,138.03,4,45.27,183.6,NA,19.5,NA,NA,NA,10.36,15,NA,NA,
Banana,12,Banana 12,Dead,Extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Banana,13,Banana 13,Harvested,Extract,130.19,155,4,47.52,122.6,NA,24.5,NA,NA,NA,10.91,16,NA,NA,Clorosis
Banana,14,Banana 14,Harvested,Extract,142.04,149.1,8,44.88,168,NA,22.5,NA,NA,NA,9.52,15,NA,NA,4 hojas secas
Banana,15,Banana 15,Harvested,Extract,127.3,143.06,9,45.42,104,NA,32.6,NA,NA,NA,11.01,20,NA,NA,4 hojas del hijo y una hoja seca
Banana,16,Banana 16,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Banana,17,Banana 17,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Banana,18,Banana 18,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
